iter	Passed	Remaining
0	71	43108
1	148	44487
2	220	43959
3	294	43829
4	368	43824
5	441	43706
6	511	43291
7	582	43074
8	652	42849
9	721	42595
10	796	42632
11	865	42387
12	942	42548
13	1016	42533
14	1094	42673
15	1169	42674
16	1239	42492
17	1312	42422
18	1380	42199
19	1451	42106
20	1524	42031
21	1602	42101
22	1676	42048
23	1752	42063
24	1823	41945
25	1894	41816
26	1961	41633
27	2039	41668
28	2122	41795
29	2211	42015
30	2303	42275
31	2398	42574
32	2495	42881
33	2592	43151
34	2692	43457
35	2800	43874
36	2890	43982
37	2992	44258
38	3072	44200
39	3165	44310
40	3252	44340
41	3341	44389
42	3430	44440
43	3513	44398
44	3598	44385
45	3687	44411
46	3775	44421
47	3860	44399
48	3939	44295
49	4030	44333
50	4113	44283
51	4197	44237
52	4286	44237
53	4372	44211
54	4457	44169
55	4543	44139
56	4625	44064
57	4715	44069
58	4799	44013
59	4889	44001
60	4978	43994
61	5067	43969
62	5152	43919
63	5235	43846
64	5318	43773
65	5403	43722
66	5489	43668
67	5565	43541
68	5650	43484
69	5738	43448
70	5821	43375
71	5907	43324
72	5990	43245
73	6078	43203
74	6167	43170
75	6250	43092
76	6331	43005
77	6421	42976
78	6503	42892
79	6586	42814
80	6671	42749
81	6760	42706
82	6844	42634
83	6927	42554
84	7024	42557
85	7148	42722
86	7246	42729
87	7345	42738
88	7449	42771
89	7559	42839
90	7666	42879
91	7771	42910
92	7874	42930
93	7972	42917
94	8180	43485
95	8357	43875
96	8501	44087
97	8638	44250
98	8763	44348
99	8882	44412
100	8986	44397
101	9118	44520
102	9250	44634
103	9379	44735
104	9500	44785
105	9626	44863
106	9765	44994
107	9886	45037
108	10001	45053
109	10199	45435
110	10379	45726
111	10539	45922
112	10669	45981
113	10784	45975
114	10894	45944
115	11011	45946
116	11118	45898
117	11227	45862
118	11342	45848
119	11456	45826
120	11606	45947
121	11847	46419
122	12070	46809
123	12319	47292
124	12505	47521
125	12668	47659
126	12833	47797
127	13106	48330
128	13330	48673
129	13529	48913
130	13725	49137
131	13853	49115
132	13964	49034
133	14074	48945
134	14189	48873
135	14299	48787
136	14412	48707
137	14525	48628
138	14634	48534
139	14754	48480
140	14918	48563
141	15086	48658
142	15243	48716
143	15418	48825
144	15615	49000
145	15806	49150
146	15993	49284
147	16200	49477
148	16368	49543
149	16543	49631
150	16707	49680
151	16862	49700
152	17036	49772
153	17177	49749
154	17297	49661
155	17399	49521
156	17497	49370
157	17602	49243
158	17699	49091
159	17791	48926
160	17886	48770
161	18016	48712
162	18289	49033
163	18414	48956
164	18539	48878
165	18646	48750
166	18763	48649
167	18872	48528
168	18975	48394
169	19074	48247
170	19176	48109
171	19274	47961
172	19364	47796
173	19464	47654
174	19563	47510
175	19663	47371
176	19756	47215
177	19854	47070
178	19956	46936
179	20053	46791
180	20147	46639
181	20247	46503
182	20348	46368
183	20456	46248
184	20571	46147
185	20680	46030
186	20791	45918
187	20894	45789
188	20997	45661
189	21099	45530
190	21206	45411
191	21307	45278
192	21402	45133
193	21501	44997
194	21600	44862
195	21709	44747
196	21891	44782
197	21989	44645
198	22123	44580
199	22229	44459
200	22426	44518
201	22550	44431
202	22648	44293
203	22750	44163
204	22842	44014
205	22938	43872
206	23035	43734
207	23135	43601
208	23247	43491
209	23357	43379
210	23471	43272
211	23575	43148
212	23696	43054
213	23812	42951
214	23920	42834
215	24015	42693
216	24113	42560
217	24211	42425
218	24337	42341
219	24438	42211
220	24529	42066
221	24638	41952
222	24738	41823
223	24838	41692
224	24934	41557
225	25097	41533
226	25213	41430
227	25314	41302
228	25410	41167
229	25506	41032
230	25605	40902
231	25706	40775
232	25801	40639
233	25906	40521
234	25994	40373
235	26089	40239
236	26186	40108
237	26286	39982
238	26383	39850
239	26478	39717
240	26576	39589
241	26674	39460
242	26769	39327
243	26872	39206
244	26968	39077
245	27066	38949
246	27166	38824
247	27260	38692
248	27355	38561
249	27451	38432
250	27545	38300
251	27641	38171
252	27734	38038
253	27831	37911
254	27938	37799
255	28043	37683
256	28142	37560
257	28249	37446
258	28360	37339
259	28467	37227
260	28582	37124
261	28693	37016
262	28804	36909
263	28905	36788
264	29003	36664
265	29103	36543
266	29199	36416
267	29299	36296
268	29400	36176
269	29503	36060
270	29603	35939
271	29706	35822
272	29800	35695
273	29896	35570
274	29991	35445
275	30092	35326
276	30198	35212
277	30304	35101
278	30408	34986
279	30528	34890
280	30631	34773
281	30735	34659
282	30846	34552
283	30957	34445
284	31065	34335
285	31180	34232
286	31294	34129
287	31397	34014
288	31491	33888
289	31592	33771
290	31687	33648
291	31783	33525
292	31875	33399
293	31973	33278
294	32064	33151
295	32154	33023
296	32248	32900
297	32365	32799
298	32469	32686
299	32565	32565
300	32661	32444
301	32766	32332
302	32871	32220
303	32988	32120
304	33101	32016
305	33221	31918
306	33340	31819
307	33458	31720
308	33575	31619
309	33690	31517
310	33793	31403
311	33884	31277
312	33978	31155
313	34071	31033
314	34164	30910
315	34256	30787
316	34358	30672
317	34453	30553
318	34547	30432
319	34639	30309
320	34738	30193
321	34838	30077
322	34929	29955
323	35020	29832
324	35117	29714
325	35214	29597
326	35312	29480
327	35407	29362
328	35510	29250
329	35608	29134
330	35699	29012
331	35796	28895
332	35893	28779
333	36000	28670
334	36114	28568
335	36222	28460
336	36328	28351
337	36431	28239
338	36525	28121
339	36624	28006
340	36718	27889
341	36813	27771
342	36911	27656
343	37015	27546
344	37105	27426
345	37208	27315
346	37307	27201
347	37394	27078
348	37499	26969
349	37605	26860
350	37704	26747
351	37805	26635
352	37911	26527
353	38012	26415
354	38110	26301
355	38224	26198
356	38321	26084
357	38431	25978
358	38534	25868
359	38643	25762
360	38750	25654
361	38840	25536
362	38931	25417
363	39022	25300
364	39127	25191
365	39220	25075
366	39320	24963
367	39412	24846
368	39512	24735
369	39606	24620
370	39705	24508
371	39801	24394
372	39888	24275
373	39987	24163
374	40081	24049
375	40173	23933
376	40270	23820
377	40372	23711
378	40477	23603
379	40571	23488
380	40673	23379
381	40765	23263
382	40865	23153
383	40960	23040
384	41061	22930
385	41159	22819
386	41258	22707
387	41356	22596
388	41460	22488
389	41565	22381
390	41667	22272
391	41758	22157
392	41846	22041
393	41937	21926
394	42038	21817
395	42132	21704
396	42231	21594
397	42319	21478
398	42416	21367
399	42543	21271
400	42654	21167
401	42765	21063
402	42899	20970
403	43015	20868
404	43132	20767
405	43243	20663
406	43352	20557
407	43466	20454
408	43571	20347
409	43666	20235
410	43764	20125
411	43862	20014
412	43962	19905
413	44064	19796
414	44161	19686
415	44251	19572
416	44344	19460
417	44450	19354
418	44546	19243
419	44651	19136
420	44750	19027
421	44843	18914
422	44934	18802
423	45031	18692
424	45128	18582
425	45228	18473
426	45330	18365
427	45432	18257
428	45530	18148
429	45630	18039
430	45725	17929
431	45815	17817
432	45910	17706
433	45996	17593
434	46089	17482
435	46177	17369
436	46271	17259
437	46359	17146
438	46447	17034
439	46543	16924
440	46638	16815
441	46735	16706
442	46832	16597
443	46933	16489
444	47026	16379
445	47126	16272
446	47221	16163
447	47317	16054
448	47404	15942
449	47499	15833
450	47593	15723
451	47701	15618
452	47888	15540
453	48004	15437
454	48112	15332
455	48217	15226
456	48325	15121
457	48435	15017
458	48561	14917
459	48655	14808
460	48753	14699
461	48842	14589
462	48937	14480
463	49039	14373
464	49146	14268
465	49248	14161
466	49351	14055
467	49443	13945
468	49546	13839
469	49645	13731
470	49744	13624
471	49838	13515
472	49939	13408
473	50039	13301
474	50139	13194
475	50234	13086
476	50329	12977
477	50417	12868
478	50507	12758
479	50605	12651
480	50698	12542
481	50794	12435
482	50895	12328
483	50989	12220
484	51086	12113
485	51180	12005
486	51281	11898
487	51381	11792
488	51473	11684
489	51573	11577
490	51670	11470
491	51763	11362
492	51860	11255
493	51953	11147
494	52056	11042
495	52157	10936
496	52265	10831
497	52365	10725
498	52474	10621
499	52591	10518
500	52733	10420
501	52867	10320
502	52990	10218
503	53099	10114
504	53220	10011
505	53335	9908
506	53458	9805
507	53576	9702
508	53694	9599
509	53787	9491
510	53897	9387
511	54009	9282
512	54111	9176
513	54206	9069
514	54296	8961
515	54386	8853
516	54485	8747
517	54593	8642
518	54690	8535
519	54791	8429
520	54886	8322
521	54984	8216
522	55081	8109
523	55178	8002
524	55276	7896
525	55373	7790
526	55472	7683
527	55570	7577
528	55667	7471
529	55760	7364
530	55849	7257
531	55939	7150
532	56025	7042
533	56120	6936
534	56215	6829
535	56310	6723
536	56403	6617
537	56505	6511
538	56605	6406
539	56708	6300
540	56798	6194
541	56896	6088
542	56995	5982
543	57097	5877
544	57197	5772
545	57299	5666
546	57395	5561
547	57492	5455
548	57586	5349
549	57687	5244
550	57783	5138
551	57893	5034
552	57992	4928
553	58102	4824
554	58214	4720
555	58325	4615
556	58448	4512
557	58566	4408
558	58693	4304
559	58784	4198
560	58886	4093
561	58992	3988
562	59092	3883
563	59197	3778
564	59295	3673
565	59391	3567
566	59500	3462
567	59592	3357
