Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Family_Communication,Weekend_Usage_Hours,Addiction_Level
4.0,6.1,78,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,4,8.7,10.0
5.5,6.5,70,5,0.0,3,7,3,0,0.9,96,9,1.1,4.0,1.8,2,5.3,10.0
5.8,5.5,93,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,6,5.7,9.2
3.1,3.9,78,8,1.6,9,10,3,0,1.4,128,7,3.1,1.6,0.8,8,3.0,9.8
2.5,6.7,56,4,1.1,1,5,1,0,1.0,96,20,2.6,0.9,1.1,10,3.7,8.6
3.9,6.3,89,3,0.7,7,1,3,0,1.1,135,8,3.8,0.0,1.4,7,6.0,8.8
6.3,6.7,89,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1.0,7,7.8,10.0
5.1,6.1,70,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,9,8.0,8.0
3.0,9.1,79,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,10,9.1,7.3
3.9,5.8,89,8,1.1,9,1,9,0,0.9,121,13,2.7,0.4,1.0,9,2.9,9.1
4.9,7.0,74,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,6,3.5,10.0
1.6,5.9,70,10,1.5,10,8,8,0,0.9,147,18,1.9,2.7,1.0,7,3.2,9.8
7.4,5.8,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,8,9.1,10.0
8.7,5.5,95,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,5,4.6,10.0
6.4,8.5,79,3,0.0,2,8,9,1,0.5,50,14,5.0,1.2,0.0,5,5.6,10.0
4.4,6.6,97,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,4,6.8,10.0
5.4,7.8,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,9,1.4,10.0
3.0,6.1,80,5,1.4,1,4,2,1,1.2,95,16,3.0,1.9,0.2,7,7.5,10.0
7.9,8.5,96,6,0.1,5,2,4,1,1.0,58,9,2.2,1.9,1.3,5,3.5,10.0
5.4,5.9,69,4,1.3,2,7,8,0,0.6,83,19,1.6,1.0,0.4,7,6.1,10.0
3.0,5.1,83,4,1.1,1,9,4,1,1.5,58,6,1.7,1.7,2.0,8,6.7,6.2
2.7,6.3,92,3,1.4,2,9,3,1,1.7,112,17,2.1,2.6,0.9,10,5.7,9.9
2.7,5.1,60,9,0.0,4,6,2,0,1.7,117,16,2.5,1.3,0.2,5,4.8,9.5
6.9,3.6,79,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,7,6.6,10.0
4.6,7.2,85,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,8,6.2,6.0
5.5,5.9,78,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,3,3.9,8.4
6.2,4.5,65,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1.0,7,6.6,10.0
4.9,9.3,50,4,0.0,7,4,1,0,0.3,117,5,3.5,4.0,0.9,3,7.0,10.0
6.6,8.1,77,7,1.0,6,1,3,1,1.5,147,14,2.0,1.7,1.6,8,9.2,10.0
8.6,5.2,63,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,9,6.6,10.0
4.1,4.5,59,8,0.8,10,1,8,0,0.6,32,10,2.2,1.0,0.5,9,9.3,7.7
4.2,6.9,86,8,1.7,5,1,9,1,1.0,100,15,2.6,2.2,0.9,4,6.9,10.0
8.0,5.5,87,7,2.2,1,8,5,0,1.0,26,16,3.3,1.3,2.6,6,5.2,10.0
3.3,5.3,50,4,0.0,7,1,6,0,0.3,141,14,0.7,3.2,0.0,5,5.1,10.0
4.7,6.6,59,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,2,0.3,9.6
3.9,6.3,64,9,1.3,6,7,8,1,0.9,135,11,1.2,1.5,1.5,7,2.2,8.4
4.4,6.8,62,8,1.4,2,1,10,0,1.7,66,7,0.9,0.0,0.0,1,6.9,4.6
8.3,6.2,65,9,1.3,5,6,8,1,1.3,144,5,2.3,0.0,1.5,1,2.9,10.0
7.4,6.9,67,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,8,4.6,10.0
1.7,6.8,68,9,0.8,5,9,1,1,0.7,107,18,2.4,0.6,0.0,6,6.2,7.0
6.2,8.3,77,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,8,6.2,10.0
5.2,7.2,96,5,0.1,4,10,3,0,0.7,119,16,3.0,1.7,0.6,3,6.1,10.0
3.3,5.3,89,7,0.0,9,6,9,0,0.3,77,18,1.1,1.0,0.0,9,10.4,7.9
6.9,6.2,89,4,1.1,3,2,7,1,0.3,140,13,3.0,1.9,0.7,9,4.1,10.0
6.6,5.0,88,8,2.1,10,7,10,0,2.0,56,20,2.1,1.4,0.4,9,6.2,10.0
1.0,6.2,60,5,1.4,6,3,10,0,0.4,25,16,3.1,0.0,2.0,4,5.8,4.7
6.7,4.7,67,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,7,9.9,10.0
7.1,7.1,67,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,0.0,4,5.3,10.0
4.7,6.5,69,6,1.5,10,3,1,0,1.3,119,5,3.4,1.0,0.0,10,4.7,9.2
8.1,7.2,91,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,9,6.0,10.0
4.3,5.9,75,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,1,3.1,10.0
3.9,8.4,97,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1.0,6,4.9,9.5
9.0,7.3,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0.0,1,6.9,10.0
4.5,7.8,93,5,1.0,7,7,2,1,1.3,83,17,2.6,1.2,2.4,8,6.0,9.5
4.4,4.1,56,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,10,6.1,10.0
5.9,8.5,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,2,6.5,8.3
3.3,6.1,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,8,5.1,9.4
2.9,5.5,71,1,1.1,9,2,1,1,0.9,117,10,2.0,1.6,1.3,7,4.6,8.1
3.4,4.7,79,10,0.9,8,4,5,0,0.6,123,6,3.0,1.7,0.7,5,7.6,9.4
6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,1,3.1,10.0
3.7,7.9,89,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,7,2.0,6.0
4.7,6.9,77,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,0.0,8,8.3,7.8
6.7,7.9,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,9,7.9,9.7
5.3,7.7,63,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,9,5.7,9.4
8.7,5.2,87,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,6,5.9,10.0
3.9,8.0,80,3,1.5,4,5,10,0,0.3,41,11,2.6,0.0,1.1,2,5.7,5.5
7.4,6.6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,9,9.3,10.0
6.8,10.0,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,10,7.6,9.8
7.0,8.0,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,5,1.8,9.7
5.8,7.2,88,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,10,9.7,9.1
4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2.0,8,11.0,10.0
4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,2,4.2,10.0
4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,1,3.9,9.7
6.3,3.0,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,6,8.5,10.0
5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,6,5.5,10.0
6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,9,8.7,10.0
5.8,7.0,76,8,1.7,5,5,5,1,1.7,116,19,3.0,2.2,2.2,9,3.3,10.0
5.1,7.0,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,2,7.7,7.6
5.2,6.0,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0.0,1.2,6,3.7,10.0
4.8,8.6,78,8,0.0,3,3,10,1,1.0,51,9,3.0,2.4,1.6,7,7.1,8.7
4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,8,5.2,8.3
7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,7,7.1,10.0
5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,4,6.2,7.6
4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,8,5.3,10.0
7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,1,7.6,10.0
3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,9,9.3,7.6
7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,1,4.1,10.0
0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,3,5.3,5.7
3.0,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,9,6.7,8.6
4.0,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,3,7.4,9.9
8.1,6.8,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,1,5.1,10.0
5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,5,8.1,10.0
1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,7,6.5,6.5
6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,5,6.8,10.0
6.4,10.0,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,2,4.6,10.0
7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,4,2.3,10.0
3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,10,6.6,10.0
4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,8,6.2,8.2
2.8,7.0,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,10,8.2,5.1
6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,7,6.7,8.8
6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,8,5.7,10.0
2.2,5.1,69,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,9,7.6,8.1
4.1,6.3,57,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,3,5.8,9.0
5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,8,8.9,10.0
4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,7,6.7,6.6
4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,4,7.4,8.0
5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,7,6.6,7.1
7.3,5.0,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,4,8.0,10.0
4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,4,8.6,6.9
2.0,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,1,4.4,5.7
1.6,6.1,70,7,0.0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,3,1.8,6.0
2.0,7.5,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,10,5.6,5.2
3.0,4.7,51,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,3,6.7,10.0
6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,3,4.9,10.0
5.5,5.4,63,8,0.0,5,10,3,1,2.0,72,14,1.4,0.0,0.8,1,8.3,8.4
6.6,9.5,53,5,1.0,8,4,1,0,0.8,121,13,4.5,1.7,2.8,6,6.4,10.0
8.3,5.7,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,10,6.5,10.0
3.6,3.1,56,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,7,7.3,10.0
5.4,3.1,88,0,0.0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,3,1.7,9.8
2.1,7.3,71,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,5,2.1,5.3
7.8,7.4,81,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,6,4.5,10.0
4.3,3.9,64,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,4,6.7,9.0
7.4,7.4,80,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,10,4.6,10.0
